ranking,company,first_name,last_name,address,city,state,zip,neighborhood,phone,website,email,short_description,description,sic,sic_description,naics,naics_description,employees,revenue,tags,notes,username
,Company Name,Executive First Name,Executive Last Name,Address,City,State,ZIP Code,Neighborhood,Phone Number Combined,Website,,,Company Description,Primary SIC Code,Primary SIC Description,Primary NAICS,Primary NAICS Description,Location Employee Size Actual,Location Sales Volume Actual,,,
,A P Unix Software,Peter H,Berens,17150 Via Del Campo # 308,San Diego,CA,92127,Rancho Bernardo,(858) 673-8649,Apunix.Com,,,,737101,Computer Services,541511,Custom Computer Programming Services,20,"$2,853,000 ",,,
,Abacus Data Systems,Judd,Kessler,9191 Towne Centre Dr # 200,San Diego,CA,92122,University City,(858) 452-4280,Abacuslaw.Com,,,,811198,Legal Services,541110,Offices Of Lawyers,30,"$6,581,000 ",,,
,Acces I-O Products,John,Persidok,10623 Roselle St,San Diego,CA,92121,Sorrento Valley,(858) 550-9559,Accesio.Com,,,"Established in 1987, Acces I/O Products Inc. is one of the leading suppliers of analog, digital, serial communication, isolated I/O boards and solutions. Based in San Diego, Calif., the firm offers a complete systems integration services and enclosures. Signal conditioning, analog, digital I/O, RS-232/422/485 serial communications, isolated input/relay output and watchdog timer cards some of its products. The products of Acces I/O Products Inc. are used with PC/104, PCI, Low Profile PCI, EBX, EPIC, USB, Ethernet and ISA buses.'",357702,Computer Peripherals (Mfrs),334118,Computer Terminal/Other Computer Prphrl Equip Mfg,23,"$3,506,000 ",,,
,Action ASP,Darren,Casden,9725 Scranton Rd,San Diego,CA,92121,Sorrento Valley,(888) 295-4678,Actionasp.Com,,,,737417,Website Hosting,518210,"Data Processing, Hosting & Related Services",20,"$4,812,000 ",,,
,Acuprint Inc,Rich,Love,5973 Avenida Encinas # 140,Carlsbad,CA,92008,,(760) 929-4808,Aptechnology.Com,,,"AP Technology has fulfilled the secure document needs of more than 5,000 customers in North America. Founded in 1989, with the purpose of developing a secure and economical MICR laser check-printing solution for the business customer, AP Technology has become a leader in the industry. Its other leading product is SecurePay, which defends against check fraud by creating positive pay files from the customer s accounting application that match their bank s field layout specifications. As the worldwide technological leader in secure printing, the company has been responsible for such innovations as bi-directional printing, printer-based audit trails and AcuPrint command language. AP Technology is also a member of a very elite group of Hewlett-Packard s Extended Solutions Providers. The company is headquartered in Carlsbad, Calif.'",737206,Computer Software,511210,Software Publishers,30,"$12,348,000 ",,,
,Airsis,Dean,Rosenberg,9845 Via Pasar,San Diego,CA,92126,Miramar,(858) 586-0933,Airsis.Com,,,"Abaris Technologies, established in 1995, is a group of programmers, analysts and business consultants offering enterprise software development services to a variety of industries, including telecommunications, media, nonprofit organizations and federal agencies. The company also supports internal technology development and new customers in the remote asset management markets. Abaris Technologies has expertise in various programming languages, operating systems and technologies, including ASP .NET, ASP, Java, extensible markup language, SQL Server, Oracle, MySQL, Visual FoxPro, Microsoft Access, C Sharp, C++, Teleforms, VeriSign, Visual Basic and wireless application protocol. Some of its clients include Costco Wholesale, Latitude Research, Los Alamos National Laboratory, Ninyo and Moore, Potlach Corporation and SYS Technologies. Abaris Technologies is located in San Diego.'",738996,Inspection Service,541350,Building Inspection Services,20,"$2,109,000 ",,,
,American Systems,Frank,Muller,2878 Camino Del Rio S # 502,San Diego,CA,92108,Mission Valley East,(619) 725-0965,Americansystems.Com,,,,737103,Computers-System Designers & Consultants,541511,Custom Computer Programming Services,40,"$5,705,000 ",,,
,Amobee,Kim,Perell,10201 Wateridge Cir # 100,San Diego,CA,92121,Sorrento Valley,(858) 638-1515,Adconiondirectincubator.Com,,,,733101,Mailing & Shipping Services,541860,Direct Mail Advertising,25,"$1,716,000 ",,,
,Anzus Inc,Greg,Nelson,12365 First American Way,Poway,CA,92064,,(858) 883-2800,Rockwellcollins.Com,,,,737206,Computer Software,511210,Software Publishers,40,"$16,464,000 ",,,
