ranking,company,first_name,last_name,address,city,state,zip,neighborhood,phone,website,email,short_description,description,sic,sic_description,naics,naics_description,employees,revenue,tags,notes,username
,6 Degree Search Inc,,,1033 Guildford Ct,Encinitas,CA,92024,,(858) 755-6054,6degreesearch.Com,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,1,"$93,000 ",employment,,
,86 Keys Communications,,,2649 Paradise Rd,Carlsbad,CA,92009,Bressi Ranch,(760) 550-9860,86keys.Com,,,"86 Keys Communications creates results-getting resumes, cover letters, LinkedIn profiles and related resume writing services for job seekers of every industry and experience level.",733803,Resume Service,561410,Document Preparation Services,2,"$202,000 ",employment,,
,A Nanny On The Net,,,115 Campbell Dr # 250,San Diego,CA,92126,,(619) 793-5371,Anannyonthenet.Com,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,7,"$651,000 ",employment,,
,A Professional Personal Svc,,,1620 Alpine Blvd # 214,Alpine,CA,91901,,(619) 445-0029,Appsrvc.Com,,,"A Professional Personnel Service ( APPS ) provides businesses of all sizes with customized solutions to meet their human resource and staffing needs. Our programs and services, whether human resources consulting or staffing, are tailored to each client's size, industry and culture. Our performance is fueled by experience, competence, responsiveness and drive. APPS is completely dedicated to support our clients in achieveing their business objectives. APPS is a Service Disabled Veteran, Women-Owned, Small Business that was established in 1996. We are a human resources ( HR ) and recruitment services firm, committed to providing critical tools and staff to a wide variety of businesses to ensure they are well equipped to achieve their business objectives.",736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,5,"$465,000 ",employment,,
,A S 400 Personnel Agency,,,270f N El Camino Real # 373,Encinitas,CA,92024,,(760) 635-3567,Businesstaff.Com,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,10,"$930,000 ",employment,,
,A Safe & Sound Nannies Agency,,,190 Del Mar Shores Ter # 83,Solana Beach,CA,92075,Solana Beach,(858) 551-8080,Safeandsoundnannies.Com,,,"Safe and Sound Nannies is a full-service nanny agency who works closely with families and nannies. Based in San Diego, it also provides expert advice for parents who are conducting their own search, including use of the screening tools. The firm s selective screening process includes standardized, statistically validated personality screen, structured interview, employment reference checks, multi-source, on-site courthouse criminal background check and national sex offender database and driving record check. Safe and Sound Nannies is affiliated with GTM Payroll Services, Home Work Solutions, PFC Information Services and Intelius Screening Solutions.",835101,Child Care Service,624410,Child Day Care Services,1,"$25,000 ",employment,,
,Aall In Limo & Party Bus,,,655 W Broadway # 1300,San Diego,CA,92101,Marina,(858) 336-1894,Aallinlimo.Com,,,"Aall In Limo & Party Bus is one of the top limousine companies in San Diego, offering a wide range of limousine tours at best prices out there.",411903,Limousine Service,485320,Limousine Service,10,"$721,000 ",employment,,
,Able Disabled Advocacy,,,521 Grape St,San Diego,CA,92101,Park West,(619) 269-9351,Able2work.Org,,,,832218,Social Service & Welfare Organizations,624190,Other Individual & Family Services,8,"$501,000 ",employment,,
,Access,,,2612 Daniel Ave,San Diego,CA,92111,Linda Vista,(858) 560-0871,Access2jobs.Org,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,25,"$2,325,000 ",employment,,
,Accountants Direct,,,5355 Mira Sorrento Pl,San Diego,CA,92121,Sorrento Valley,(858) 597-7478,Adirectsd.Com,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,5,"$465,000 ",employment,,
,Accountants In Transition Inc,,,10509 Vista Sorrento Pkwy # 30,San Diego,CA,92121,,(858) 404-9900,Aitransition.Com,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,7,"$651,000 ",employment,,
,Acrobat Outsourcing,,,2525 Camino Del Rio S,San Diego,CA,92108,Mission Valley East,(858) 546-8300,Acrobatoutsourcing.Com,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,5,"$465,000 ",employment,,
,Action Events & Promotions,,,2801 Camino Del Rio S # 312,San Diego,CA,92108,Mission Valley East,(619) 295-1755,Actionmodels.Com,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,15,"$1,395,000 ",employment,,
,Addspace To Your Life!,,,4866 Canterbury Dr,San Diego,CA,92116,Kensington,(760) 436-4266,Addspacetoyourlife.Com,,,,832204,Counselors-Licensed Professional,624190,Other Individual & Family Services,1,"$63,000 ",employment,,
,Admiral Robinson Rec Ctr,,,2375 Recreation Way,San Diego,CA,92136,,(619) 556-7486,Navylifesw.Com,,,,799701,Recreation Centers,713940,Fitness & Recreational Sports Centers,40,"$2,355,000 ",employment,,
,Advantage Solutions Employment,,,1850 5th Ave,San Diego,CA,92101,Park West,(619) 450-6060,Advantagesolutionsemployment.Com,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,1,"$93,000 ",employment,,
,Alan Taylor Co Inc,,,1210 Industrial Ave,Escondido,CA,92029,Vineyard,(760) 489-0657,Alantaylorcompany.Com,,,,736106,Employment Service-Govt Co Fraternal,561311,Employment Placement Agencies,8,"$744,000 ",employment,,
,Albright Domestic Staffing,,,3830 Valley Centre Dr # 705,San Diego,CA,92130,Carmel Valley,(858) 792-7740,Albrightdomesticstaffing.Com,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,2,"$186,000 ",employment,,
,Alcock & Mcfadden Employment,,,3760 Convoy St # 223,San Diego,CA,92111,Kearny Mesa,(858) 505-0303,Alcockmcfadden.Com,,,,736105,Executive Search Consultants,561312,Executive Search Services,4,"$372,000 ",employment,,
,Allied Information Resource,,,380 S Melrose Dr # 405,Vista,CA,92081,,(760) 730-1329,Alliedinformationresource.Com,,,"Allied Information Resource is a background verification company based in Carlsbad, Calif. The company provides a variety of screening services, such as criminal conviction search by county and state, federal search by jurisdiction, education verification and employment/reference verification, to name a few. It also provides tenant background check, tenant credit check and eviction reports with Web-based delivery. Its other services include adverse notification, national medical sanctions and urinary drug screen. Allied Information Resource is a Better Business Bureau (BBB) accredited firm.",736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,5,"$465,000 ",employment,,
,Allstar Staffing,,,7040 Avenida Encinas # 201,Carlsbad,CA,92011,,(760) 929-2310,Allstarstaffing.Com,,,,801101,Physicians & Surgeons,621111,Offices Of Physicians (Exc Mental Health Specs),3,"$647,000 ",employment,,
,Alternate Route,,,350 K St,San Diego,CA,92101,Marina,(619) 757-1417,Alternateroute.Net,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,5,"$465,000 ",employment,,
,Amarx Search Inc,,,9524 Kearny Villa Rd # 205,San Diego,CA,92126,Miramar,(858) 578-6050,Amarx.Com,,,,736103,Employment Agencies & Opportunities,561311,Employment Placement Agencies,3,"$279,000 ",employment,,
,American Incite,,,917 Hillfield Ct # 4,Oceanside,CA,92058,Oceanside Municipal Airport,(760) 754-2444,Americanincite.Com,,,,736105,Executive Search Consultants,561312,Executive Search Services,1,"$93,000 ",employment,,
