"Company Name","Address","City","State","ZIP Code","Neighborhood","Phone Number","Phone Number Combined","Website","Company Description","Primary SIC Code","Primary SIC Description","Primary NAICS","Primary NAICS Description","Location Employee Size Actual","Location Sales Volume Actual"
"1 Park Place","10875 Rancho Bernardo Rd # 100","San Diego","CA","92127","Rancho Bernardo","6736022","(858) 673-6022","Homebuyersdmv.Com","","874201","Business Management Consultants","541614","Process, Physical Distr/Logistics Consulting Svcs","00020","$2,278,000"
"939 Coast Management Assn","939 Coast Blvd","La Jolla","CA","92037","Village","4540311","(858) 454-0311","939coastlajolla.Com","","874105","Association Management","561110","Office Administrative Services","00029","$6,189,000"
"A G Scientific Inc","6450 Lusk Blvd # E102","San Diego","CA","92121","Sorrento Valley","4529925","(858) 452-9925","Agscientific.Com","A.G. Scientific is a provider of biochemicals and pharmaceutical raw materials and other products and services to corporations, universities, research institutes, medical laboratories and government agencies worldwide. The company s mission is to discover, develop and provide biochemical raw materials to accelerate scientific discovery. A.G. Scientific aids researchers worldwide in the fields of molecular biology, neurobiology, cancer research, cell biology, drug discovery, agricultural biotechnology and animal health. The company provides custom services such as research product commercialization and private label programs. It also specializes in the areas of fermentation and complex organic synthesis, offering a vast array of products with production runs ranging from10 g to 200 KG. A.G. Scientific is headquartered in San Diego and has distributors in Australia, New Zealand, Belgium, the United Kingdom, Germany, France, Sweden, Singapore, Taiwan, Korea, Israel and Japan.","873126","Biotechnology Products & Services","541714","Research-Devmnt In Biotechnology (Except Nanobio)","00020","$0"
"Abbiotec","7985 Dunbrook Rd # A","San Diego","CA","92126","Miramar","5860500","(858) 586-0500","Abbiotec.Com","","873126","Biotechnology Products & Services","541714","Research-Devmnt In Biotechnology (Except Nanobio)","00020","$0"
"ABC Construction Co","3120 National Ave","San Diego","CA","92113","Logan Heights","2393428","(619) 239-3428","Abcconstruction.Com","","161106","Asphalt & Asphalt Products","237310","Highway Street & Bridge Construction","00031","$9,099,000"
"Accounting Group","1227 Prospect St # 200","La Jolla","CA","92037","Village","2259322","(619) 225-9322","Teamtag.Net","","872101","Accountants","541211","Offices Of Certified Public Accountants","00030","$4,277,000"
"Achates Power","4060 Sorrento Valley Blvd # A","San Diego","CA","92121","Sorrento Valley","5359981","(858) 535-9981","Achatespower.Com","","351101","Turbines-Manufacturers","333611","Turbine & Turbine Generator Set Units Mfg","00040","$14,142,000"
"Acon Laboratories Inc","10125 Mesa Rim Rd","San Diego","CA","92121","Mira Mesa","8758000","(858) 875-8000","Aconlabs.Com","","873126","Biotechnology Products & Services","541714","Research-Devmnt In Biotechnology (Except Nanobio)","00045","$0"
"Acrm","1045 14th St # 100","San Diego","CA","92101","East Village","3983480","(619) 398-3480","Acm-Architects.Com","","871202","Architects","541310","Architectural Services","00035","$5,883,000"
"Act Enviro","2010 Mission Rd","Escondido","CA","92029","Vineyard","4895600","(760) 489-5600","Actenviro.Com","","873111","Environmental & Ecological Services","541714","Research-Devmnt In Biotechnology (Except Nanobio)","00030","$0"
