"Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Neighborhood","Phone Number Combined","Website","Primary SIC Code","Primary SIC Description","Primary NAICS","Primary NAICS Description","Location Employee Size Actual","Location Sales Volume Actual"
"ABC ISP Inc","","","8284 Stage Coach Pl","San Diego","CA","92129","Torrey Highlands","(858) 216-1840","Abcisp.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Acrendo Software Inc","","","1010 University Ave","San Diego","CA","92103","Hillcrest","(858) 208-3090","Acrendo.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Amh Internet Solutions Inc","","","3830 Ruette San Raphael","San Diego","CA","92130","Carmel Valley","(858) 720-1400","Amh.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00005","$714,000"
"Atom Sage","","","12463 Rancho Bernardo Rd # 529","San Diego","CA","92128","Rancho Bernardo","(858) 951-3080","Atomsage.Com","489901","Communications Services-Common Carriers","517919","All Other Telecommunications","00006","$2,497,000"
"Awarepoint Corp","","","718 Lupine Dr","San Marcos","CA","92078","","(858) 345-5000","Awarepoint.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Bjornson Enabled Microsystems","Lee","Bjornson","1518 Via Salerno","Escondido","CA","92026","Country Club","(760) 735-9520","Enabledmicrosystems.Com","737103","Computers-System Designers & Consultants","541511","Custom Computer Programming Services","00001","$143,000"
"Brain Corp","Eugene","Izhikevich","9401 Waples St # 100","San Diego","CA","92121","Sorrento Valley","(858) 704-4303","Braincorporation.Com","573407","Computer & Equipment Dealers","443142","Electronic Stores","00005","$1,329,000"
"Brentech Inc","Veronica","Brenner","9340 Carmel Mountain Rd # C","San Diego","CA","92129","Rancho Penasquitos","(858) 484-7314","Brentech-Inc.Com","737801","Computers-Service & Repair","811212","Computer & Office Machine Repair & Maintenance","00007","$1,069,000"
"Education Services & Programs","","","121 Parnassus Cir","Oceanside","CA","92054","Loma Alta","(760) 433-9443","Esandp.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Enterprise Technology Allnc","Alan","Stanly","197 Woodland Pkwy # 104","San Marcos","CA","92069","","(760) 752-1506","Etagroup.Biz","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Eset LLC","","","3533 Corte Lupe","Carlsbad","CA","92009","","(619) 997-3246","Eset.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
"Eyespot","","","725 S Coast Highway 101","Encinitas","CA","92024","","(617) 232-3303","Eyespot.Com","737102","Computer Programming Services","541511","Custom Computer Programming Services","00002","$286,000"
