"Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Neighborhood","Phone Number Combined","Website","Primary SIC Code","Primary SIC Description","Primary NAICS","Primary NAICS Description","Location Employee Size Actual","Location Sales Volume Actual"
"24 Hour Power Inc","","","1183 N Johnson Ave","El Cajon","CA","92020","","(619) 444-7697","24hourpowr.Com","491101","Electric Companies","221122","Electric Power Distribution","00012","$6,722,000"
"A C Energy Systems Inc","May Beth","Rothery","224 Birmingham Dr # 1a2","Cardiff By Sea","CA","92007","","(760) 436-2116","Acenergysystems.Com","521136","Energy Conservation Prods-Svcs-Systems","444190","Other Building Material Dealers","00004","$1,633,000"
"AET Solar","Robert","Carson","1800 John Towers Ave # B","El Cajon","CA","92020","","(619) 562-8800","Zs1.Zeroredirect11.Com","873103","Solar Energy Research & Development","541715","Research & Devmnt-Physical Engineering Life Sci","00012","$0"
"All Tech Svc Elite","Irving","Hoffman","PO Box 1359","Chula Vista","CA","91912","","(619) 279-7915","Chulavistageneralcontractor.Com","173101","Electric Contractors","238210","Electrical Contr & Other Wiring Installation Contr","00001","$145,000"
"Alltech Solar Inc","Fred","Carmody Jr","4079 Governor Dr # 307","San Diego","CA","92122","University City","(858) 455-9292","Alltechsolarusa.Com","507405","Solar Energy Equipment-Wholesale","423720","Plumbing & Htg Equip/Supls (Hydronics) Mrchnt Whls","00005","$4,586,000"
"Alternative Energy Systems Inc","Richard","Sterrett","1945 Camino Vida Roble # A","Carlsbad","CA","92008","","(760) 931-2641","Aesc-Inc.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"American Biodiesel Energy Inc","Lisa","Mortenson","171 Saxony Rd # 202","Encinitas","CA","92024","","(760) 942-9306","Communityfuels.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00005","$1,153,000"
"Applied Energy","Mike","Stewart","270 Rodger & Qua","Coronado","CA","92118","","(619) 437-8067","Atlanticpower.Com","491101","Electric Companies","221122","Electric Power Distribution","00006","$3,361,000"
"Applied Energy","","","8835 Balboa Ave # D","San Diego","CA","92123","Kearny Mesa","(858) 268-8899","Atlanticpower.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Atmus Energy","","","550 Seagaze Dr # 7","Oceanside","CA","92054","Downtown Oceanside","(888) 216-9719","Atmusenergy.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Automated Controls Inc","","","13922 Whispering Meadows Ln","Jamul","CA","91935","","(619) 669-0500","Automatedcontrols.Net","521136","Energy Conservation Prods-Svcs-Systems","444190","Other Building Material Dealers","00007","$2,857,000"
"Automation Services Co","Dana","Stanford","4107 Palomar Dr","Fallbrook","CA","92028","","(760) 728-1389","Automationservicescompany.Com","521136","Energy Conservation Prods-Svcs-Systems","444190","Other Building Material Dealers","00001","$409,000"
"Bear Technology","Wayne","Seward","7774 Calle Mejor","Carlsbad","CA","92009","","(760) 632-7302","Beartechconsulting.Com","274121","Publishers-Computer Software (Mfrs)","511199","All Other Publishers","00002","$291,000"
"Bear Technologys","","","","Escondido","CA","92029","","(760) 635-2327","Beartechnologys.Com","874212","Energy Conservation & Mgmt Consultants","541612","Human Resources Consulting Services","00002","$228,000"
"Big Mountain Energy","","","7760-H Fay Ave # 266","La Jolla","CA","92037","Village","(310) 880-2471","Vantagerecruiter.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"California Solar Thermal Inc","Matthew","Traficonte","6142 Nancy Ridge Dr # 101","San Diego","CA","92121","Sorrento Valley","(858) 798-5155","Californiasolarthermal.Com","873103","Solar Energy Research & Development","541715","Research & Devmnt-Physical Engineering Life Sci","00015","$0"
"Calpeak Power LLC","Romero","Gonzalez","7365 Mission Gorge Rd # C","San Diego","CA","92120","Allied Gardens","(619) 229-7608","Calpeakpower.Com","491101","Electric Companies","221122","Electric Power Distribution","00013","$7,282,000"
"Calpine Energy Solutions LLC","Donald E","Felsinger","401 W A St # 500","San Diego","CA","92101","Core-Columbia","Not Available","Calpinesolutions.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00004","$0"
