"Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Neighborhood","Phone Number Combined","Website","Primary SIC Code","Primary SIC Description","Primary NAICS","Primary NAICS Description","Location Employee Size Actual","Location Sales Volume Actual"
"Access Development Inc","","","12692 Salmon River Rd","San Diego","CA","92129","Rancho Penasquitos","(951) 244-3750","","274121","Publishers-Computer Software (Mfrs)","511199","All Other Publishers","00003","$437,000"
"Advanced Micro Applications","Glenn","Gessay","1555 Hawk View Dr","Encinitas","CA","92024","","(760) 753-0066","","274121","Publishers-Computer Software (Mfrs)","511199","All Other Publishers","00001","$146,000"
"Bear Technology","Wayne","Seward","7774 Calle Mejor","Carlsbad","CA","92009","","(760) 632-7302","Beartechconsulting.Com","274121","Publishers-Computer Software (Mfrs)","511199","All Other Publishers","00002","$291,000"
"Cloudtrigger LLC","Lonnie","Wills","760 Garden View Ct # 120","Encinitas","CA","92024","","(858) 356-5201","Cloudsherpas.Com","274121","Publishers-Computer Software (Mfrs)","511199","All Other Publishers","00003","$437,000"
"Competitive Energy Insight","Steve","Provol","12025 Blue Diamond Ct","San Diego","CA","92131","Miramar Ranch North","(858) 566-0221","Ceinsight.Com","274121","Publishers-Computer Software (Mfrs)","511199","All Other Publishers","00001","$146,000"
"EDP Management Inc","Patricia","Dodd","8940 Activity Rd # F","San Diego","CA","92126","Miramar","(858) 547-8860","Edpmi.Com","274121","Publishers-Computer Software (Mfrs)","511199","All Other Publishers","00004","$582,000"
"Integrant Inc","Olin","Hyde","5665 Oberlin Dr # 102","San Diego","CA","92121","Sorrento Valley","(858) 457-3200","Integrant.Com","274121","Publishers-Computer Software (Mfrs)","511199","All Other Publishers","00003","$437,000"
"Mahoney Software Systems","Patrick","Mahoney","6361 Yarrow Dr # C","Carlsbad","CA","92011","","(760) 334-5265","Mahoneysoftware.Com","274121","Publishers-Computer Software (Mfrs)","511199","All Other Publishers","00003","$437,000"
"Natural Selection Inc","Eva","Fogel","6480 Weathers Pl # 350","San Diego","CA","92121","Sorrento Valley","(858) 455-7185","","274121","Publishers-Computer Software (Mfrs)","511199","All Other Publishers","00011","$1,600,000"
"Net Exchange","Charles","Polk","777 S Highway 101 # 211","Solana Beach","CA","92075","Solana Beach","(858) 535-9685","Nex.Com","274121","Publishers-Computer Software (Mfrs)","511199","All Other Publishers","00006","$873,000"
"Project Net","Roger","Bly","4740 Mount Etna Dr","San Diego","CA","92117","Clairemont Mesa West","(858) 775-2859","Project.Net","274121","Publishers-Computer Software (Mfrs)","511199","All Other Publishers","00001","$146,000"
"Quadra Systems","John","Mac Donald","5267 Los Robles Dr","Carlsbad","CA","92008","","(760) 602-9203","Quadrasystems.Net","274121","Publishers-Computer Software (Mfrs)","511199","All Other Publishers","00003","$437,000"
"Qualcomm Innovation Ctr Inc","Rob","Chandhok","5775 Morehouse Dr","San Diego","CA","92121","Sorrento Valley","(858) 587-1121","Qualcomm.Com","274121","Publishers-Computer Software (Mfrs)","511199","All Other Publishers","00003","$0"
"Sierra National Corp","Fred","Forbes","8790 Cuyamaca St # G","Santee","CA","92071","","(619) 258-8200","Sierranational.Com","274121","Publishers-Computer Software (Mfrs)","511199","All Other Publishers","00003","$437,000"
"Touch This Media","Peter","Connolly","3367 4th Ave","San Diego","CA","92103","Park West","(619) 995-5114","Touchthismedia.Com","274121","Publishers-Computer Software (Mfrs)","511199","All Other Publishers","00006","$873,000"
