ranking,company,first_name,last_name,address,city,state,zip,neighborhood,phone,website,email,short_description,description,sic,sic_description,naics,naics_description,employees,revenue,tags,notes,username
,Company Name,,,Address,City,State,ZIP Code,Neighborhood,Phone Number Combined,Website,,,Company Description,Primary SIC Code,Primary SIC Description,Primary NAICS,Primary NAICS Description,Location Employee Size Actual,Location Sales Volume Actual,,,
,5th Axis CNC,,,7140 Engineer Rd,San Diego,CA,92111,Kearny Mesa,(858) 505-0432,Fifth-Axis.Com,,,"5th Axis Inc. is one of the leading computer numerical control (CNC) machining facilities in Southern California. Located in San Diego, Calif., the company offers an array of services, such as engineering, assembly, manufacturing, plating, finishing and printing. Additionally, it features equipment, including lathes, grinders, finish machines, saws and inspection equipment, to name a few. It is an ISO 9001:2000 and AS 9100B certified company. Its clients include Apogen Technologies, Broadcast Microwave Systems, Fujikura Performance Shafts, Micro Power Tech. and Novo Engineering, among others.",359903,Machine Shops (Mfrs),332710,Machine Shops,28,"$3,248,000 ",,,
,A Shade Better,,,276 Trade St,San Marcos,CA,92078,,(760) 744-3404,Ashadebetter.Com,,,,571927,Lamps & Lamp Shades-Retail,442299,All Other Home Furnishings Stores,20,"$3,955,000 ",,,
,A To Z Metal Finishing Inc,,,9352 Cabot Dr,San Diego,CA,92126,Miramar,(858) 586-9484,Atozmetalfinishing.Com,,,,347109,Metal Finishers-Blasting (Mfrs),332813,Electroplating Plating Polishing Anodizing & Clrng,30,"$2,293,000 ",,,
,A-1 Alloys Inc,,,3330 Beyer Blvd # F,San Ysidro,CA,92173,San Ysidro,(619) 591-2190,A1alloys.Net,,,,331202,Tubing (Manufacturers),331110,Iron & Steel Mills & Ferroalloy Manufacturing,30,"$16,331,000 ",,,
,Abacor Inc,,,766 Gable Way,El Cajon,CA,92020,,(619) 441-8200,Abacorinc.Com,,,,501302,Truck Equipment & Parts-Wholesale,423120,Motor Vehicle Supplies & New Parts Merchant Whlsrs,28,"$33,704,000 ",,,
,Acces I-O Products,,,10623 Roselle St,San Diego,CA,92121,Sorrento Valley,(858) 550-9559,Accesio.Com,,,"Established in 1987, Acces I/O Products Inc. is one of the leading suppliers of analog, digital, serial communication, isolated I/O boards and solutions. Based in San Diego, Calif., the firm offers a complete systems integration services and enclosures. Signal conditioning, analog, digital I/O, RS-232/422/485 serial communications, isolated input/relay output and watchdog timer cards some of its products. The products of Acces I/O Products Inc. are used with PC/104, PCI, Low Profile PCI, EBX, EPIC, USB, Ethernet and ISA buses.",357702,Computer Peripherals (Mfrs),334118,Computer Terminal/Other Computer Prphrl Equip Mfg,23,"$3,506,000 ",,,
,Accu-Tech Laser Processing Inc,,,550 S Pacific St # 100,San Marcos,CA,92078,,(760) 744-6692,Accutechlaser.Com,,,,359903,Machine Shops (Mfrs),332710,Machine Shops,20,"$2,320,000 ",,,
,Ace Industries,,,738 Design Ct # 301,Chula Vista,CA,91911,,(619) 482-2700,Aceindustriesinc.Com,,,"ACE Industries, founded in 1988, is a manufacturing company that fabricates a wide range of machined component products made from various metals and plastics for the aerospace, medical equipment, semiconductor equipment and defense industries. Its services consist of precision computerized numerical control machining, design and engineering, protype machining, tool and die, product assembly, injection molds, and jig and fixtures. The ISO 9001 compliant company operates 24-hours, seven-days a week. Some of its customers include General Atomics and Affiliated Companies, Cubic Defense Systems, Raytheon, Panasonic, Delta Design, Hyundai and Samsung. ACE Industries has its headquarters in Chula Vista, Calif.",359903,Machine Shops (Mfrs),332710,Machine Shops,20,"$2,320,000 ",,,
,Ace Uniforms Inc,,,633 16th St,San Diego,CA,92101,East Village,(619) 233-0227,Aceuniforms.Com,,,,569922,Uniforms,448190,Other Clothing Stores,28,"$3,793,000 ",,,
,Achates Power,,,4060 Sorrento Valley Blvd # A,San Diego,CA,92121,Sorrento Valley,(858) 535-9981,Achatespower.Com,,,,351101,Turbines-Manufacturers,333611,Turbine & Turbine Generator Set Units Mfg,40,"$14,142,000 ",,,
,Action Fire Systems Co Inc,,,9185 Harness St,Spring Valley,CA,91977,,(619) 462-9210,Actionfiresystems.Com,,,,508734,Sprinklers-Automatic-Fire (Whls),423850,Service Establishment Equip/Supls Merchant Whlsrs,25,"$21,026,000 ",,,
,Activewear Garment Mfg,,,680 Marsat Ct # B,Chula Vista,CA,91911,Otay Town,(619) 423-2021,Activewearinc.Com,,,,239902,Sewing Contractors (Mfrs),314999,All Other Miscellaneous Textile Product Mills,30,"$3,524,000 ",,,
,Adipogen Corp,,,9853 Pacific Heights Blvd # K,San Diego,CA,92121,Sorrento Valley,(858) 558-1230,Adipogen.Com,,,,283407,Laboratories-Pharmaceutical (Mfrs),325412,Pharmaceutical Preparation Manufacturing,28,"$46,710,000 ",,,
,Advance Plastics,,,225 W 30th St,National City,CA,91950,National City,(619) 477-1893,Ims4usa.Com,,,"Advance Plastics is a custom injection molding company with subsidiary operations in Taiwan, China and Argentina and specializes in mold design and building. It provides die casting, sheet metal fabrication, assembly, packaging and all types of plastic manufacturing. It provides injection molding for components parts used in blood testing units, knife handles, surge protectors, strip plugs and yo-yos. The company s clients include Anacomp, Buck Knives, Cal-Mil Plastic Products, Everest Enclosures, Gander, Litton Data Systems, National Pen, Ontro, Weber Aircraft, Powerware and Printex. It has a 35,000-square-foot manufacturing plant equipped with injection molding machines and support and toolroom equipment. Advance Plastics is headquartered in National City, Calif.",308901,Plastics-Mold-Manufacturers,326199,All Other Plastics Product Manufacturing,40,"$7,526,000 ",,,
,Advance Reprographics,,,2102 Hancock St,San Diego,CA,92110,Mission Hills,(619) 297-7734,Advance-Repro.Com,,,,275202,Printers (Mfrs),323111,Commercial Printing (Except Screen & Books),20,"$3,902,000 ",,,
,Advanced Machining & Tooling,,,13535 Danielson St,Poway,CA,92064,,(858) 486-9050,Amtmfg.Com,,,"Founded in 1989, Advanced Machining & Tooling Inc. specializes in manufacturing high precision, complex parts and components. Based in Poway, Calif ., the company manufactures the components using electrical discharge machining (EDM) and waterjet equipment along with computer numerical control machining and turning equipment. Their components offer interchangeability along with high accuracy for critical operational processes. Some of its clients are General Atomics Aeronautical, Hamilton Sundstrand, Northrop Grumman and Solar Turbines. Advanced Machining & Tooling Inc. is an ISO 9001:2008 and AS 9100: B certified company.",359903,Machine Shops (Mfrs),332710,Machine Shops,45,"$5,220,000 ",,,
,Advanced Machining Solutions,,,3523 Main St # 606,Chula Vista,CA,91911,Otay Town,(619) 671-3055,Amssd.Com,,,"Established in 2005, Advanced Machining Solutions is a machine shop that provides various related services. Located in San Diego, Calif., the firm serves a number of industries, including electronics, aircraft, defense, satellite, turbines and energy. The company specializes in computer numerical control (CNC) precision machined parts, assembly services, production tooling, engineering and quality inspection. Advanced Machining Solutions provides a host of facilities that include vertical band saw, fork lift, sunnen bore gages set and complete sets of measuring tools, among others.",359903,Machine Shops (Mfrs),332710,Machine Shops,35,"$4,060,000 ",,,
,Advanced Packaging Tech Amer,,,7580 Britannia Ct # B,San Diego,CA,92154,Otay Mesa,(619) 710-8170,Aptagroup.Com,,,"APTA is an advanced electronic packaging company providing quick-turn and high volume microminiature electronic packaging services to customers worldwide. It serves the growing demand for circuitry having high input and output count, high performance, small form factor and high thermal management requirements. In addition, the company supplies a line of high performance memory modules throughout the United States through its Mosaic division and for the European market through its subsidiary.  APTA's products are designed to support the next generation of systems and electronic modules in communications automotive, portable electronics, medical electronics, military and industrial applications. APTA has its headquarters in San Diego.",367901,Electronic Equipment & Supplies-Mfrs,334419,Other Electronic Component Manufacturing,20,"$3,359,000 ",,,
,Adventure 16 Inc,,,4620 Alvarado Canyon Rd # 12,San Diego,CA,92120,Grantville,(619) 283-2362,Adventure16.Com,,,"Adventure 16 is one of the leading outdoor outfitters in the United States. Established in 1962, it operates various retail outlets and more than 15 wholesale divisions that specialize in providing accessories and equipment for backpacking, camping, climbing and adventure travel. The company also provides camp and trail gears, compasses, cutlery sets, pet products, water bottles, hydration systems and, lighting and kitchen equipment. Adventure 16 additionally offers a range of equipment, such as trekking poles, bear canisters, and climbing and snowshoes on a rental basis. It provides products from manufactures, such as Adventure Medical Kits, Aquapac, Black Diamond, Brunton, Canine Hardware, Katadyn, Kinesys, Leatherman, Nalgene and Pelican Products. The company supplies products to more than five stores in Southern California.",394923,Sporting & Athletic Goods NEC (Mfrs),339920,Sporting & Athletic Goods Manufacturing,20,"$8,267,000 ",,,
,Advertising Edge Inc,,,9840 Prospect Ave,Santee,CA,92071,,(619) 258-9773,Digicustoms.Com,,,"Advertising Edge is a company specializing in screen printing, embroidery and marketing of promotional items. Its apparel line includes T-shirts, aprons, collared shirts, denim shirts, hats, caps, jackets, robes, sweat shirts, varsity jackets and vests. It provides a variety of bags, drinkware, electronics, lanyards and silicon awareness bracelets and various military items, such as coins, key chains, medallions, patches, pins and plaques. The company also offers office accessories, such as calculators, desk accessories, note pads, organizers, pencils and stress balls. Advertising Edge is based in Santee, Calif., and has an office in Canada as well.",731919,Advertising-Promotional,541890,Other Services Related To Advertising,35,"$2,846,000 ",,,
