ranking,company,first_name,last_name,address,city,state,zip,neighborhood,phone,website,email,short_description,description,sic,sic_description,naics,naics_description,employees,revenue,tags,notes,username
1,Fate Therapeutics Inc,,,3535 General Atomics Ct # 200,San Diego,CA,92121,Torrey Pines,(858) 875-1800,Fatetherapeutics.Com,,,,283601,Biological Products (Mfrs),325414,Biological Product (Except Diagnostic) Mfg,0,$0 ,,,
2,Vical Inc,,,10390 Pacific Center Ct,San Diego,CA,92121,Sorrento Valley,(858) 646-1100,Vical.Com,,,"Vical researches and develops biopharmaceutical products based on its patented deoxyribonucleic acid (DNA) delivery technologies. Its DNA technologies are used for the prevention and treatment of serious or life-threatening diseases. The company has gained access to enhancing technologies through licensing and collaborative agreements. Vical researches vaccines for use in high-risk populations for infectious disease targets, vaccines for general pediatric or adult populations and cancer vaccines or immunotherapies for its existing programs. The company has retained all rights to its internally developed product candidates. Vical s manufacturing group has developed patented purification approaches that allow it to manufacture naked DNA plasmids in gram quantities within three to four months. Vical is based in San Diego and publicly traded on the NASDAQ under the symbol VICL.",283601,Biological Products (Mfrs),325414,Biological Product (Except Diagnostic) Mfg,0,$0 ,,,
2,Ignyta Inc,,,4545 Towne Centre Ct,San Diego,CA,92121,University City,(858) 255-5959,Ignyta.Com,,,,873126,Biotechnology Products & Services,541714,Research-Devmnt In Biotechnology (Except Nanobio),0,$0 ,,,
15,Orexigen Therapeutics Inc,,,3344 N Torrey Pines Ct # 200,La Jolla,CA,92037,Torrey Pines,(858) 875-8600,Orexigen.Com,,,"OREXIGEN Therapeutics is a biopharmaceutical company that offers therapeutics for the treatment of central nervous system disorders and obesity. The company provides a range of drug formulations, including naltrexone, bupropion and zonisamide. Its proprietary products include Contrave and Empatic. It also offers research and development, clinical tests, laboratory processing, formulation development, sampling and in-licensing services. Its additional services include product design, manufacturing, marketing, distribution, biotechnological support and inventory management. The company operates through a network of health care professionals, medicine suppliers and dealers. OREXIGEN Therapeutic has one of its offices located in San Diego.",873126,Biotechnology Products & Services,541714,Research-Devmnt In Biotechnology (Except Nanobio),0,$0 ,,,
3,Senomyx Inc,,,4767 Nexus Center Dr,San Diego,CA,92121,University City,(858) 646-8300,Senomyx.Com,,,"Senomyx is a biotechnology company that uses proprietary taste receptor-based assays and screening technologies to discover and develop novel flavor enhancers and taste modulators for the packaged food and beverage industry. The company believes that its flavor ingredients enable companies to improve the nutritional profile of products, including maintaining or enhancing taste. It licenses its flavor ingredients to collaborators on an exclusive basis. The company s flavor enhancer programs focus on the development of savory, sweet and salty flavor enhancers that allow for the reduction of monosodium glutamate, sugar and salt in food and beverage products. In addition, it has a bitter modulation program to improve the taste of food, beverage and pharmaceutical products. The company has product discovery and development collaborations with some of the world s leading food and beverage companies, including Campbell Soup, Coca-Cola, Kraft Foods and Nestl . Senomyx is headquartered in La Jolla, Calif.",873126,Biotechnology Products & Services,541714,Research-Devmnt In Biotechnology (Except Nanobio),0,$0 ,,,
,Miro Technologies Inc,,,5643 Copley Dr,San Diego,CA,92111,Kearny Mesa,(858) 503-1990,Mirotechnologies.Com,,,,737201,Computer Software-Manufacturers,511210,Software Publishers,0,$0 ,,,
,Receptos Inc,,,3033 Science Park Rd # 300,San Diego,CA,92121,Torrey Pines,(858) 652-5700,Receptos.Com,,,,283404,Drug Millers (Mfrs),325412,Pharmaceutical Preparation Manufacturing,0,$0 ,,,
,Private Bancorp Of America Inc,,,801 Orange Ave # 101,Coronado,CA,92118,,(619) 437-1000,Sandiegoprivatebank.Net,,,,671201,Holding Companies (Bank),551111,Offices Of Bank Holding Companies,0,$0 ,,,
,Quidel Corp,,,12544 High Bluff Dr # 200,San Diego,CA,92130,Carmel Valley,(858) 552-1100,Quidel.Com,,,"Quidel Corporation, established in 1979, is one of the leading providers of diagnostic tests and solutions for detection and management of medical conditions and illnesses. It offers a variety of tests that aid in the diagnosis of several diseases, including influenza, fecal occult blood, bacterial vaginosis, infectious mononucleosis, pylori, chlamydia and pregnancy tests. The company markets its product under the brand name, QuickVue. It has a specialty products department that develops research products in the fields of oncology and bone health. The company also provides service and technical support to customers. Quidel Corporation has research and manufacturing operations in San Diego and Santa Clara, Calif.",283598,In-Vitro/In-Vivo Diagnostic Sbstnc,325413,In-Vitro Diagnostic Substance Manufacturing,0,$0 ,,,
,Cliniqa Corp,,,288 Distribution St,San Marcos,CA,92078,,(760) 744-1900,Cliniqa.Com,,,,873101,Laboratories-Research & Development,541714,Research-Devmnt In Biotechnology (Except Nanobio),0,$0 ,,,
