ranking,company,first_name,last_ame,address,city,state,zip,neighborhood,phone,website,email,short_description,description,sic,sic_description,naics,naics_description,employees,revenue,tags,notes,username
,ACG Apprenticeship Trust,,,6212 Ferris Sq,San Diego,CA,92121,Sorrento Valley,(858) 558-0876,Agcsd.Org,,,,833103,Apprenticeship Training Programs,624310,Vocational Rehabilitation Services,15,$0 ,"employment, training",,
,Active Recovery Svc,,,1655 Otay Mesa Center Rd,San Diego,CA,92154,Otay Mesa,(619) 710-4996,Activerecoveryservices.Com,,,,833102,Rehabilitation Services,624310,Vocational Rehabilitation Services,7,$0 ,"employment, training",,
,ADICIO,,,2382 Faraday Ave # 350,Carlsbad,CA,92008,,(760) 692-9500,Theheavenlyeternalmessagingsystem.Net,,,"Adicio Incorporated, located in Carlsbad, Calif., develops a wide variety of interactive classified advertising software solutions for the career, real estate and motors markets, which serve some of the leading media companies and Web portals. It provides various technology and enterprise-class software platforms, domain expertise and customer support services. The company also offers a private-label application that integrates with various online classified advertising offerings, and enables organizations to build and manage a wide variety of communities of buyers and sellers. Adicio Incorporated serves more than 200 clients, including various newspapers, magazines, trade associations and several media companies. The company provides various comprehensive, configurable tools from search capabilities to account management tools.",737206,Computer Software,511210,Software Publishers,100,"$41,159,000 ","employment, training",,
,Advanced Cardiac Care Ctr,,,3088 Pio Pico Dr # 202,Carlsbad,CA,92008,,(760) 730-0163,Advancedcardiaccarecenter.Com,,,,801101,Physicians & Surgeons,621111,Offices Of Physicians (Exc Mental Health Specs),7,"$1,508,000 ","employment, training",,
,Advancing Careers,,,4420 Hotel Circle Ct # 200,San Diego,CA,92108,Mission Valley West,(619) 564-6548,Advancing-Careers.Com,,,,833106,Career & Vocational Counseling,624310,Vocational Rehabilitation Services,6,$0 ,"employment, training",,
,AGC-Amer San Diego Chapter,,,6212 Ferris Sq,San Diego,CA,92121,Sorrento Valley,(858) 558-0739,Agcsd.Org,,,,152103,General Contractors,236115,New Single-Family Hsng Constr (Exc For-Sale Bldrs),4,"$1,332,000 ","employment, training",,
,Ahp Career Ctr,,,8695 Spectrum Center Blvd,San Diego,CA,92123,Kearny Mesa,(703) 532-6243,Ahp.Org,,,,833106,Career & Vocational Counseling,624310,Vocational Rehabilitation Services,2,$0 ,"employment, training",,
,Antique Appraisals,,,8690 Aero Dr # 115 Pmb 357,San Diego,CA,92123,Kearny Mesa,(619) 670-4455,Personalpropertyappraisals.Com,,,,738913,Appraisers,541990,"All Other Professional, Scientific/Technical Svcs",1,"$106,000 ","employment, training",,
,Apple Socal LLC,,,7510 Clairemont Mesa Blvd # 10,San Diego,CA,92111,Kearny Mesa,(858) 277-2277,Socalhandtherapy.Com,,,,833102,Rehabilitation Services,624310,Vocational Rehabilitation Services,7,$0 ,"employment, training",,
,Arbor Hills Nurse & Rehab Ctr,,,7800 Parkway Dr,La Mesa,CA,91942,,(619) 460-2330,Lifegen.Net,,,,805101,Nursing & Convalescent Homes,623110,Nursing Care Facilities (Skilled Nursing Fclts),110,"$8,766,000 ","employment, training",,
,ASSOCIATED Builders & Contrs,,,13825 Kirkham Way,Poway,CA,92064,,(858) 513-4700,Abcsd.Org,,,,839998,Non-Profit Organizations,813319,Other Social Advocacy Organizations,15,$0 ,"employment, training",,
,Associated Speech Pathologists,,,1595 Grand Ave # 110,San Marcos,CA,92078,,(760) 471-1198,Associatedspeech.Publishpath.Com,,,,804925,Speech Pathologists,621340,"Offices-Physical, Occptnl/Speech Thrpsts/Audlgsts",20,"$1,235,000 ","employment, training",,
,Bio Mechanics,,,3969 4th Ave # 304,San Diego,CA,92103,Hillcrest,(619) 295-7772,Thebiomechanicsmethod.Com,,,,833102,Rehabilitation Services,624310,Vocational Rehabilitation Services,2,$0 ,"employment, training",,
,Buffini & Co,,,6349 Palomar Oaks Ct,Carlsbad,CA,92011,,(760) 827-2100,Buffiniandcompany.Com,,,,874201,Business Management Consultants,541614,"Process, Physical Distr/Logistics Consulting Svcs",3,"$342,000 ","employment, training",,
,Career Center,,,230 Jamacha Rd,El Cajon,CA,92019,,(619) 401-4344,Guhsd.Net,,,,821103,Schools,611110,Elementary & Secondary Schools,16,$0 ,"employment, training",,
